,attacker,attacker,attacker,attacker,actor,actor,actor,actor
count,1,2,3,4,1,2,3,4
isqno,,,,,,,,
159,1,0,,,Mexico,USA,,
160,0,1,,,Mexico,USA,,
161,0,1,,,Mexico,USA,,
162,0,1,,,Mexico,USA,,
163,0,1,,,Mexico,USA,,
164,0,1,,,Mexico,USA,,
165,1,1,0,,France,Great Britain,Russia,
166,0,0,1,,France,Great Britain,Russia,
167,0,1,,,Austria,France,,
168,0,1,,,Austria,France,,
169,0,1,,,Austria,Prussia,,
170,0,1,,,Austria,Italy,,
171,0,1,,,Confederacy,USA,,
172,0,1,,,Confederacy,USA,,
173,0,1,,,Confederacy,USA,,
174,1,0,,,Confederacy,USA,,
175,1,0,,,Confederacy,USA,,
176,1,0,,,Confederacy,USA,,
177,1,0,,,Confederacy,USA,,
178,1,0,,,Confederacy,USA,,
179,1,0,,,Confederacy,USA,,
180,1,0,,,Confederacy,USA,,
181,0,1,,,Confederacy,USA,,
182,1,0,,,Confederacy,USA,,
183,1,0,,,Confederacy,USA,,
184,1,0,,,Confederacy,USA,,
185,1,0,,,Confederacy,USA,,
186,1,0,,,Confederacy,USA,,
187,1,0,,,Confederacy,USA,,
188,0,1,,,Confederacy,USA,,
189,0,1,,,Confederacy,USA,,
190,0,1,,,Confederacy,USA,,
191,0,1,,,Confederacy,USA,,
192,0,1,,,Confederacy,USA,,
193,0,1,,,Confederacy,USA,,
194,0,1,,,Confederacy,USA,,
195,1,0,,,Confederacy,USA,,
196,0,1,,,Confederacy,USA,,
197,0,1,,,Confederacy,USA,,
198,0,1,,,Confederacy,USA,,
199,1,0,,,Confederacy,USA,,
200,1,0,,,Confederacy,USA,,
201,0,1,,,Confederacy,USA,,
202,0,1,,,Confederacy,USA,,
203,0,1,,,Confederacy,USA,,
204,1,0,,,Confederacy,USA,,
205,0,1,,,Confederacy,USA,,
206,0,1,,,Confederacy,USA,,
207,1,0,,,Confederacy,USA,,
208,1,0,,,Confederacy,USA,,
209,0,1,,,Confederacy,USA,,
210,0,1,,,Confederacy,USA,,
211,0,1,,,Confederacy,USA,,
212,1,0,,,Confederacy,USA,,
213,1,0,,,Confederacy,USA,,
214,0,1,,,Confederacy,USA,,
215,1,0,,,Confederacy,USA,,
216,0,1,,,Confederacy,USA,,
217,0,1,,,Confederacy,USA,,
218,0,1,,,Confederacy,USA,,
219,0,1,,,Confederacy,USA,,
220,0,1,,,France,Germany,,
221,0,1,,,France,Germany,,
222,0,1,,,France,Germany,,
223,0,1,,,France,Germany,,
224,0,1,,,France,Germany,,
225,0,1,,,France,Germany,,
226,1,0,,,France,Germany,,
227,0,1,,,France,Germany,,
228,0,1,,,France,Germany,,
229,1,0,,,France,Germany,,
230,0,1,,,Great Britain,Zulu,,
231,0,1,,,Great Britain,Zulu,,
232,0,1,,,Great Britain,South African Republic,,
233,0,1,,,Egypt,Great Britain,,
234,0,1,,,Great Britain,Mahdists,,
235,1,0,,,Ethiopia,Italy,,
236,1,0,,,Great Britain,South African Republic,,
237,1,0,,,Great Britain,South African Republic,,
238,1,0,,,Great Britain,South African Republic,,
239,1,0,,,Great Britain,South African Republic,,
240,1,0,,,Great Britain,South African Republic,,
241,0,1,,,Spain,USA,,
242,1,0,,,Japan,Russia,,
243,1,0,,,Japan,Russia,,
244,1,0,,,Japan,Russia,,
245,0,1,,,Japan,Russia,,
246,0,1,,,Japan,Russia,,
247,1,0,,,Japan,Russia,,
248,0,1,,,Ottoman Empire,Serbia,,
249,1,0,,,Bulgaria,Ottoman Empire,,
250,0,1,,,Ottoman Empire,Serbia,,
251,0,1,,,Ottoman Empire,Serbia,,
252,1,0,,,Bulgaria,Ottoman Empire,,
253,1,0,,,Poland,USSR,,
254,1,0,,,Poland,USSR,,
255,1,0,,,Italy,Spanish Republic,,
256,1,0,,,Japan,USSR,,
257,0,1,,,Japan,USSR,,
258,0,1,,,Japan,USSR,,
259,1,0,,,Japan,USSR,,
260,0,1,,,Japan,USSR,,
261,1,0,,,Finland,USSR,,
262,1,0,,,France,Germany,,
263,0,1,,,France,Germany,,
264,1,0,,,France,Germany,,
265,0,1,,,France,Germany,,
266,1,0,,,Germany,Great Britain,,
267,1,0,,,Germany,Great Britain,,
268,0,1,,,France,Germany,,
269,0,1,,,France,Germany,,
270,1,0,,,France,Germany,,
271,1,0,,,France,Germany,,
272,1,0,,,France,Germany,,
273,0,1,,,Germany,Great Britain,,
274,0,1,,,France,Germany,,
275,0,1,,,France,Germany,,
276,0,1,,,France,Germany,,
277,1,0,,,France,Germany,,
278,0,1,,,Germany,Russia,,
279,1,0,,,Germany,Russia,,
280,1,0,,,Germany,Russia,,
281,1,0,,,Germany,Russia,,
282,1,0,,,Austria,Russia,,
283,1,0,,,Austria,Russia,,
284,1,0,,,Austria,Russia,,
285,1,0,,,Austria,Russia,,
286,1,0,,,Germany,Russia,,
287,1,0,,,Austria,Serbia,,
288,0,1,,,Austria,Serbia,,
289,1,0,,,France,Germany,,
290,0,1,,,Germany,Great Britain,,
291,1,0,,,Germany,Great Britain,,
292,0,1,,,Germany,Great Britain,,
293,0,1,,,Germany,Great Britain,,
294,1,0,,,Germany,Russia,,
295,1,0,,,Germany,Russia,,
296,0,1,,,Austria,Italy,,
297,0,1,,,Austria,Italy,,
298,0,1,,,Austria,Italy,,
299,0,1,,,Austria,Italy,,
300,1,0,,,Great Britain,Ottoman Empire,,
301,1,0,,,Great Britain,Ottoman Empire,,
302,1,0,,,Great Britain,Ottoman Empire,,
303,1,0,,,Great Britain,Ottoman Empire,,
304,0,1,,,Germany,Great Britain,,
305,0,1,,,Germany,Great Britain,,
306,0,1,,,Germany,Great Britain,,
307,0,1,,,Germany,Great Britain,,
308,0,1,,,Germany,Great Britain,,
309,0,1,,,Ottoman Empire,Russia,,
310,0,1,,,Germany,Russia,,
311,0,1,,,Austria,Russia,,
312,0,1,,,Austria,Italy,,
313,1,0,,,Austria,Italy,,
314,0,1,,,Austria,Italy,,
315,0,1,,,Austria,Italy,,
316,0,1,,,Germany,Great Britain,,
317,1,0,,,France,Germany,,
318,0,1,,,Germany,Great Britain,,
319,0,1,,,Germany,Great Britain,,
320,0,1,,,Germany,Great Britain,,
321,1,0,,,Germany,Great Britain,,
322,0,1,,,Austria,Italy,,
323,0,1,,,Austria,Italy,,
324,1,1,0,,Austria,Germany,Italy,
325,1,0,,,Great Britain,Ottoman Empire,,
326,1,0,,,Great Britain,Ottoman Empire,,
327,1,0,,,Great Britain,Ottoman Empire,,
328,1,0,,,Great Britain,Ottoman Empire,,
329,1,0,,,Great Britain,Ottoman Empire,,
330,1,0,,,Germany,Great Britain,,
331,1,0,,,Germany,Great Britain,,
332,1,0,,,Germany,Great Britain,,
333,1,0,,,Germany,USA,,
334,0,1,,,France,Germany,,
335,0,1,,,Germany,USA,,
336,0,1,,,Germany,USA,,
337,0,1,,,Germany,USA,,
338,0,1,,,Germany,USA,,
339,0,1,,,Germany,USA,,
340,0,1,,,Germany,USA,,
341,0,1,,,Germany,USA,,
342,0,1,,,Germany,USA,,
343,1,0,,,Germany,USA,,
344,0,1,,,Germany,USA,,
345,0,1,,,Germany,USA,,
346,0,1,,,Germany,USA,,
347,0,1,,,Germany,USA,,
348,0,1,,,Germany,USA,,
349,0,1,,,Germany,USA,,
350,0,1,,,France,Germany,,
351,0,1,,,France,Germany,,
352,1,0,,,France,Germany,,
353,0,1,,,Germany,USA,,
354,0,1,,,Germany,USA,,
355,0,1,,,Germany,USA,,
356,0,1,,,Germany,USA,,
357,0,1,,,Germany,USA,,
358,0,1,,,Germany,USA,,
359,0,1,,,Germany,USA,,
360,0,1,,,Germany,USA,,
361,0,1,,,Germany,USA,,
362,0,1,,,Germany,USA,,
363,0,1,,,Germany,USA,,
364,0,1,,,Germany,USA,,
365,0,1,,,Germany,USA,,
366,0,1,,,Germany,USA,,
367,0,1,,,Germany,USA,,
368,0,1,,,Germany,USA,,
369,0,1,,,Germany,USA,,
370,0,1,,,Germany,USA,,
371,0,1,,,Germany,USA,,
372,0,1,,,Germany,USA,,
373,0,1,,,Germany,USA,,
374,0,1,,,Germany,USA,,
375,0,1,,,Germany,USA,,
376,0,1,,,Germany,USA,,
377,0,1,,,Germany,USA,,
378,0,1,,,Germany,USA,,
379,0,1,,,Germany,USA,,
380,0,1,,,Germany,USA,,
381,1,0,,,France,Germany,,
382,0,1,,,Germany,USA,,
383,0,1,,,Germany,USA,,
384,1,0,,,Austria,Italy,,
385,1,0,,,Great Britain,Ottoman Empire,,
386,1,0,1,,Germany,Great Britain,Italy,
387,0,1,,,Germany,Great Britain,,
388,0,1,,,Germany,Great Britain,,
389,0,1,,,Germany,Great Britain,,
390,0,1,,,Germany,Great Britain,,
391,1,0,,,Germany,USA,,
392,1,0,,,Germany,USA,,
393,0,1,,,Germany,USA,,
394,0,1,,,Germany,Great Britain,,
395,0,1,,,Germany,Great Britain,,
396,0,1,,,Germany,USA,,
397,1,0,,,Germany,Great Britain,,
398,1,0,,,Germany,Great Britain,,
399,1,0,,,Germany,USA,,
400,0,1,,,Germany,Great Britain,,
401,0,1,,,Germany,USA,,
402,1,0,,,Germany,Great Britain,,
403,0,1,,,Germany,Great Britain,,
404,0,1,,,Germany,USA,,
405,0,1,,,Germany,Great Britain,,
406,0,1,,,Germany,Great Britain,,
407,0,1,,,Germany,USA,,
408,0,1,,,Germany,USA,,
409,0,1,,,Germany,USA,,
410,0,1,,,Germany,Great Britain,,
411,0,1,,,Germany,Great Britain,,
412,0,1,,,Germany,Great Britain,,
413,0,1,,,Germany,Great Britain,,
414,0,1,,,Germany,USA,,
415,0,1,,,Germany,Great Britain,,
416,0,1,,,Germany,USA,,
417,0,1,,,Germany,USA,,
418,0,1,,,Germany,Germany,,
419,0,1,,,Germany,USA,,
420,0,1,,,Germany,Great Britain,,
421,0,1,,,Germany,Great Britain,,
422,0,1,,,Germany,USA,,
423,0,1,,,Germany,Great Britain,,
424,1,0,,,Germany,Great Britain,,
425,0,1,,,Germany,Great Britain,,
426,1,0,,,Germany,Great Britain,,
427,1,0,,,Germany,Great Britain,,
428,1,0,,,Germany,USA,,
429,1,0,,,Germany,Great Britain,,
430,0,1,,,Germany,USA,,
431,1,0,,,Germany,USA,,
432,1,0,,,Germany,Great Britain,,
433,1,0,,,Germany,USA,,
434,0,1,,,Germany,USA,,
435,0,1,,,Germany,USA,,
436,0,1,,,Germany,USA,,
437,0,1,,,Germany,USA,,
438,0,1,,,Germany,USA,,
439,0,1,,,Germany,USA,,
440,0,1,,,Germany,USA,,
441,0,1,,,Germany,USA,,
442,0,1,,,Germany,Great Britain,,
443,0,1,,,Germany,Great Britain,,
444,0,1,,,Germany,USA,,
445,0,1,,,Germany,USA,,
446,0,1,,,Germany,USA,,
447,0,1,,,Germany,USA,,
448,0,1,,,Germany,USA,,
449,0,1,,,Germany,USA,,
450,0,1,,,Germany,Great Britain,,
451,0,1,,,Germany,USA,,
452,0,1,,,Germany,USA,,
453,0,1,,,Germany,USA,,
454,0,1,,,Germany,USA,,
455,0,1,,,Germany,USA,,
456,0,1,,,Germany,Great Britain,,
457,0,1,,,Germany,USA,,
458,0,1,,,Germany,USA,,
459,0,1,,,Germany,Great Britain,,
460,0,1,,,Germany,USA,,
461,1,0,,,Germany,USA,,
462,0,1,,,Germany,USA,,
463,0,1,,,Germany,USA,,
464,0,1,,,Germany,USA,,
465,0,1,,,Germany,USA,,
466,0,1,,,Germany,USA,,
467,1,0,,,Germany,USA,,
468,0,1,,,Germany,USA,,
469,0,1,,,Germany,USA,,
470,0,1,,,Germany,USA,,
471,0,1,,,Germany,USA,,
472,0,1,,,Germany,USA,,
473,0,1,,,Germany,USA,,
474,0,1,,,Germany,USA,,
475,0,1,,,Germany,USA,,
476,0,1,,,Germany,USA,,
477,0,1,,,Germany,USA,,
478,0,1,,,Germany,USA,,
479,0,1,,,Germany,USA,,
480,0,1,,,Germany,USA,,
481,0,1,,,Germany,USA,,
482,0,1,,,Germany,USA,,
483,1,0,,,Germany,USA,,
484,1,0,,,Germany,USA,,
485,1,0,,,Germany,USA,,
486,0,1,,,France,Germany,,
487,0,1,,,Great Britain,Japan,,
488,1,0,,,Germany,USSR,,
489,1,0,,,Germany,USSR,,
490,0,1,,,Germany,USSR,,
