isqno,War,Battle Name,Location,Campaign,Attacker Win,Dry/Wet,High/Low Precipitaton/Sunny/Cloudy,"Temperature (Hot, Cold, Temperate)",Season,Tropical/Desert/Temperate,Attacker 1,Attacker 2,Attacker 3,Attacker 4,Actor 1,Actor 2,Actor 3,Actor 4
36.0,DUTCH WAR,ENZHEIM,GERMANY,RHINELAND 1674,0.0,W,H,T,F,T,1.0,0.0,,,France,Holy Roman Empire,,
37.0,DUTCH WAR,TURCKHEIM,GERMANY,RHINELAND 1675,1.0,D,S,T,W,T,1.0,0.0,,,France,Holy Roman Empire,,
38.0,DUTCH WAR,FEHRBELLIN,BRANDENBURG,BRANDENBURG 1675,1.0,D,S,T,S,T,1.0,0.0,,,Prussia,Sweden,,
39.0,MONMOUTH'S REBELLION,SEDGEMOOR,ENGLAND,SEDGEMOOR,-1.0,W,L,T,S,T,0.0,1.0,,,England,English Rebels,,
40.0,KING WILLIAM'S WAR,KILLIECRANKIE,SCOTLAND,KILLIECRANKIE,1.0,D,S,T,S,T,0.0,1.0,,,England,Jacobites,,
41.0,KING WILLIAM'S WAR,WALCOURT,FRANCE,FLANDERS 1689,-1.0,D,S,T,S,T,0.0,1.0,,,Dutch Republic,France,,
42.0,KING WILLIAM'S WAR,FLEURUS,NETHERLANDS,FLEURUS 1690,1.0,D,S,T,S,T,0.0,1.0,,,Dutch Republic,France,,
43.0,KING WILLIAM'S WAR,THE BOYNE,IRELAND,BOYNE,1.0,D,S,T,S,T,1.0,0.0,,,England,Jacobites,,
44.0,KING WILLIAM'S WAR,AUGHRIM,IRELAND,AUGHRIM,1.0,D,S,T,S,T,1.0,0.0,,,England,Jacobites,,
45.0,KING WILLIAM'S WAR,STEENKERKE,SPANISH NETHERLANDS,FLANDERS 1692,-1.0,W,L,T,S,T,1.0,0.0,,,England,France,,
46.0,KING WILLIAM'S WAR,NEERWINDEN (LANDEN),SPANISH NETHERLANDS,FLANDERS 1693,1.0,D,S,T,S,T,0.0,1.0,,,England,France,,
47.0,KING WILLIAM'S WAR,MARSAGLIA,PIEDMONT,PIEDMONT 1693,1.0,D,S,T,F,T,1.0,0.0,,,France,Savoy,,
48.0,AUSTRO-TURKISH WAR,ZENTA,HUNGARY,HUNGARY 1697,1.0,D,S,T,F,T,1.0,0.0,,,Holy Roman Empire,Ottoman Empire,,
49.0,GREAT NORTHERN WAR,POLTAVA,RUSSIA,POLTAVA,-1.0,D,S,T,S,T,0.0,1.0,,,Russia,Sweden,,
50.0,WAR OF THE SPANISH SUCCESSION,BLENHEIM,BAVARIA,BLENHEIM,1.0,D,S,T,S,T,0.0,1.0,0.0,1.0,Bavaria,England,France,Holy Roman Empire
